text,class
Existe um numero minimo de alunos para montar uma turma de BigData?,aluno
Quantos alunos ja concluiram o curso de BigData?,aluno
Existem avaliacoes orais no curso de Bigdata?,avaliacao
Qual a media minima que o aluno devera alcancar?,avaliacao
O que e big data?,big data
Como o BigData e usado no mundo?,big data
Quais sao os Cursos da Faculdade BandTec de Pos Graduacao?,curso
Quais sao as disciplinas existentes no curso de Bigdata?,curso
Posso fazer reposicao de aulas do curso de Bigdata?,curso
Quantas disciplinas serao ministradas por dia no curso de Bigdata?,disciplina
Todas as disciplinas tem o mesmo peso na nota final do curso?,disciplina
Havera eventos em empresas durante o curso?,parcerias
Onde consigo informacao sobre o programa de parcerias para empresas?,parcerias
Qual o nome dos professores do curso de BigData?,professor
Quem sao os melhores professores da Bandtec?,professor
Qual a metodologia aplicada nos projetos?,projetos
Como sao avaliados os projetos?,projetos
Como funciona a bolsa?,secretaria
Quero reaproveitar materias de outros cursos,secretaria
Quais foram os artigos criados?,artigos
Artigos desenvolvidos pelos alunos do curso de BigData?,artigos
A BandTec disponibilizara toda a bibliografia usada durante o curso?,bibliografia
Posso encontrar online a bibliografia usada no curso de BigData?,bibliografia
O projetor nao mostra a tela do meu notebook o que fazer?,suporte
Como conectar meu notebook a rede da faculdade?,suporte
Qual o horario das aulas?,calendario
Qual a data de apresentacao do projeto final?,calendario
Quantas questoes irao cair na prova?,vestibular
Vai ser preciso saber formulas de fisica e quimica?,vestibular
Quais as carreiras disponiveis para BigData?,carreira
Quais sao os conhecimentos necessarios para uma carreira de sucesso em BigData?,carreira
